par,lag_meses,n,r
GASB → ACR (Mendeley),0,288,0.6169
GASB → ACR (Mendeley),1,287,0.7208
GASB → ACR (Mendeley),2,286,0.7131
GASB → ACR (Mendeley),3,285,0.5903
GASB → ACR (Mendeley),4,284,0.4431
GASB → ACR (Mendeley),5,283,0.298
GASB → ACR (Mendeley),6,282,0.1863
GASB → NW_GoM (Mendeley),0,288,0.0026
GASB → NW_GoM (Mendeley),1,287,-0.0292
GASB → NW_GoM (Mendeley),2,286,-0.0601
GASB → NW_GoM (Mendeley),3,285,-0.0847
GASB → NW_GoM (Mendeley),4,284,-0.0935
GASB → NW_GoM (Mendeley),5,283,-0.1027
GASB → NW_GoM (Mendeley),6,282,-0.1077
ACO → CM (SEMAR),0,15,0.6965
ACO → CM (SEMAR),1,14,0.7546
ACO → CM (SEMAR),2,13,0.5389
ACO → CM (SEMAR),3,12,0.2225
ACO → CM (SEMAR),4,11,-0.1816
ACO → CM (SEMAR),5,10,-0.5846
ACO → CM (SEMAR),6,9,-0.718
ACO → CO (SEMAR),0,15,0.8219
ACO → CO (SEMAR),1,14,0.7741
ACO → CO (SEMAR),2,13,0.6832
ACO → CO (SEMAR),3,12,0.3755
ACO → CO (SEMAR),4,11,0.0271
ACO → CO (SEMAR),5,10,-0.3244
ACO → CO (SEMAR),6,9,-0.5797
ACO/GASB → CM/NWGoM (combinado),0,303,0.003
ACO/GASB → CM/NWGoM (combinado),1,302,-0.0298
ACO/GASB → CM/NWGoM (combinado),2,301,-0.0616
ACO/GASB → CM/NWGoM (combinado),3,300,-0.0864
ACO/GASB → CM/NWGoM (combinado),4,299,-0.0951
ACO/GASB → CM/NWGoM (combinado),5,298,-0.1035
ACO/GASB → CM/NWGoM (combinado),6,297,-0.1088
ACO/GASB → CO/ACR (combinado),0,303,0.5989
ACO/GASB → CO/ACR (combinado),1,301,0.701
ACO/GASB → CO/ACR (combinado),2,299,0.6943
ACO/GASB → CO/ACR (combinado),3,297,0.576
ACO/GASB → CO/ACR (combinado),4,295,0.4331
ACO/GASB → CO/ACR (combinado),5,293,0.2945
ACO/GASB → CO/ACR (combinado),6,291,0.1844
